2025-02-22 20:05:49,424 - BUY Trade | Entry Time: 1739905200000 | Entry Price: 94104.14 | RSI at Entry: 32.610614079915955
2025-02-22 20:05:49,425 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 62.91283751825594
2025-02-22 20:05:49,426 - SELL Trade | Exit Time: 1740146400000 | Exit Price: 98777.77 | RSI at Exit: 61.09958081506687
2025-02-22 20:05:49,426 - BUY Trade | Entry Time: 1740175200000 | Entry Price: 95823.53 | RSI at Entry: 34.684295385773716
2025-02-22 20:06:49,597 - BUY Trade | Entry Time: 1739905200000 | Entry Price: 94104.14 | RSI at Entry: 32.610614079915955
2025-02-22 20:06:49,598 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 62.91283751825594
2025-02-22 20:06:49,599 - SELL Trade | Exit Time: 1740146400000 | Exit Price: 98777.77 | RSI at Exit: 61.09958081506687
2025-02-22 20:06:49,599 - BUY Trade | Entry Time: 1740175200000 | Entry Price: 95823.53 | RSI at Entry: 34.684295385773716
2025-02-22 20:31:49,783 - BUY Trade | Entry Time: 1739905200000 | Entry Price: 94104.14 | RSI at Entry: 32.98773171340241
2025-02-22 20:31:49,783 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 62.932630248672965
2025-02-22 20:31:49,784 - SELL Trade | Exit Time: 1740146400000 | Exit Price: 98777.77 | RSI at Exit: 61.10584497009911
2025-02-22 20:31:49,784 - BUY Trade | Entry Time: 1740175200000 | Entry Price: 95823.53 | RSI at Entry: 34.68541786856469
2025-02-24 19:16:11,292 - SELL Trade | Exit Time: 1740027600000 | Exit Price: 96909.99 | RSI at Exit: 63.62574751204132
2025-02-24 19:16:11,293 - SELL Trade | Exit Time: 1740049200000 | Exit Price: 97207.92 | RSI at Exit: 65.19905283202348
2025-02-24 19:16:11,293 - BUY Trade | Entry Time: 1740175200000 | Entry Price: 95823.53 | RSI at Entry: 34.494572639310405
2025-02-24 19:17:11,471 - SELL Trade | Exit Time: 1740027600000 | Exit Price: 96909.99 | RSI at Exit: 63.62574751204132
2025-02-24 19:17:11,474 - SELL Trade | Exit Time: 1740049200000 | Exit Price: 97207.92 | RSI at Exit: 65.19905283202348
2025-02-24 19:17:11,475 - SELL Trade | Exit Time: 1740060000000 | Exit Price: 96966.91 | RSI at Exit: 54.10115397419352
2025-02-24 19:17:11,476 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 64.32744897154689
2025-02-24 19:18:11,648 - SELL Trade | Exit Time: 1740027600000 | Exit Price: 96909.99 | RSI at Exit: 63.62574751204132
2025-02-24 19:18:11,648 - SELL Trade | Exit Time: 1740049200000 | Exit Price: 97207.92 | RSI at Exit: 65.19905283202348
2025-02-24 19:18:11,650 - SELL Trade | Exit Time: 1740060000000 | Exit Price: 96966.91 | RSI at Exit: 54.10115397419352
2025-02-24 19:18:11,651 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 64.32744897154689
2025-02-24 19:18:11,659 - SELL Trade | Exit Time: 1740146400000 | Exit Price: 98777.77 | RSI at Exit: 61.458536113089274
2025-02-24 19:19:11,835 - SELL Trade | Exit Time: 1740027600000 | Exit Price: 96909.99 | RSI at Exit: 63.62574751204132
2025-02-24 19:19:11,836 - SELL Trade | Exit Time: 1740049200000 | Exit Price: 97207.92 | RSI at Exit: 65.19905283202348
2025-02-24 19:19:11,837 - SELL Trade | Exit Time: 1740060000000 | Exit Price: 96966.91 | RSI at Exit: 54.10115397419352
2025-02-24 19:19:11,839 - SELL Trade | Exit Time: 1740085200000 | Exit Price: 98089.46 | RSI at Exit: 64.32744897154689
2025-02-24 19:19:11,840 - SELL Trade | Exit Time: 1740146400000 | Exit Price: 98777.77 | RSI at Exit: 61.458536113089274
